"Proper Name","Designation","HIP","Bayer ID","Constellation","Origin","Ethnic-Cultural_Group_or_Language","Reference","Additional info, e.g. constellation","Date of Adoption"
"La Superba","HR 4846","62223","Y CVn","CVn","In 1868 Secchi used ""superba"" as an adjective to describe the star Y CVn, not as a proper name of the star. However, in 1876 Birmingham seems to have borrowed from Secchi this term and used it as a proper name of the star. As a consequence, in 1877 Secchi himself adopted the same name. Agnes Clerke attributed the term to Secchi, without distinguishing between the adjective and the name. In principle, it should be attributed to both Secchi and Birmingham, in my opinion.","Latin","Email from Ileana Chinnici, biographer of Secchi, to Ian Ridpath 2024 October 14.","CVn","10/08/2018"
"Lang-Exster","HR 8502","110130","α Tuc","Tuc","""Lang"" is an Malayan/ Indonesian term meaning ""hornbill"", ""Exster"" is a Dutch word meaning ""magpie"" and both terms were used as name for the newly defined constellation in Early Modern Age by the Dutch sailors (de Houtman 1603) who artificially created the constellation as ""Indian Magpie"" referring to a species of bird with a strong cultural significance for the indigenous people they met (e.g. Dayak). The star is a spectroscopic binary which is why it makes sense to give it a double-name.","Malayan-Dutch","see ASE","","19/09/2024"
"Larawag","HR 6241","82396","ε Sco","Sco","Larawag is the Wardaman name of ε Sco, from the Northern Territory, Australia. Larawag is part of a procession of beings along the curve of stars in Scorpius, acting as the signal watcher, noting when only legitimate participants are present and in view of the ceremony. He gives the “All clear” signal, allowing the secret part of the ceremony to continue. This procession is related to the bats that carry Ginan.","Aboriginal/Wardaman","Cairns, H. and Harney, B.Y. (2003) Dark Sparklers - Yidumduma's Aboriginal Astronomy. H.C. Cairns, Merimbula, NSW, pp. 147-149.","","17/11/2017"
"Leepwal","HD 121263","68002","ζ Cen","Cen","Ļeepwal is the name for ζ Cen in Marshallese. Original spelling Ļeepwal. Pronounced leyepwal, the first ""l"" being pronounced with the back of the tongue raised (velarized) and the root of the tongue retracted (pharyngealized) so as to elongate the oral cavity, thereby giving the consonant a ""heavier"" or ""darker"" sound.","Marshallese","see ASE","","18/07/2024"
"Lerna","HAT-P-42","0","","Hya","Lerna was the name of a lake in the eastern Peloponnese, where the Lernaean Hydra, an immortal mythical nine-headed beast lived. The star lies in the constellation of Hydra.","Greek","2019 IAU100 NameExoWorlds","","17/12/2019"
"Lesath","HR 6508","85696","υ Sco","Sco","The formation of this name begins with the Greek term ""(foggy) conglomeration,"" used by Ptolemy in the Tetrabiblos in describing several nebulous sky objects (in the present case, probably the open cluster M7). Ptolemy's term was translated by the sci-Arabs as al-latkha, ""the Spot."" This word in turn became transliterated and corrupted in Medieval Latin to alascha, which was used in astrological texts in connection with Scorpius' tail. In Renaissance times, the derivation of alascha was erroneously attributed to the Arabic word las'a, ""sting, or bite (of a poisonous animal),"" rather than to al-latkha. Subsequently the erroneous word, written as ""Lesath,"" was applied as a star name to u Sco (and in recent times, also to λ Sco).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Sco","21/08/2016"
"Libertas","HR 7595","97938","ξ Aql","Aql","Libertas is Latin for ""liberty"". Liberty refers to social and political freedoms, and a reminder that there are people derived of liberty in the world even today. The constellation Aquila represents an eagle - a popular symbol of liberty.","Latin","2015 NameExoWorlds","","15/12/2015"
"Lich","PSR B1257+12","0","","Vir","Lich is a fictional undead creature known for controlling other undead creatures with magic.","fictional","2015 NameExoWorlds","","15/12/2015"
"Liesma","HD 118203","66192","","UMa","Liesma means flame, and it is the name of a character from the Latvian poem Staburags un Liesma.","Lavtian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Lilii Borea","HR 824","13061","39 Ari","Ari","Lacaille used the now obsolete constellation Lilium (The Lily) and named this star ""in the north of Lily"", in Latin: Lilii Borea","Latin","Lacaille, N.L. de (1757) Astronomiae fundamenta novissimis Solis et stellarum observationibus stabilita Lutetiæ in collegio Mazarinæo et in Africa ad Caput Bonæ Spei peractis. p.233.","","05/09/2017"
"Lionrock","HD 212771","110813","","Aqr","Lion Rock is a lion-shaped peak overlooking Hong Kong and is a cultural symbol with deep respect from the local community.","English","2019 IAU100 NameExoWorlds","","17/12/2019"
"Lucilinburhuc","HD 45350","30860","","Aur","The Lucilinburhuc fortress was built in 963 by the founder of Luxembourg, Count Siegfried.","Luxembourgish","2019 IAU100 NameExoWorlds","","17/12/2019"
"Lusitânia","HD 45652","30905","","Mon","Lusitânia is the ancient name of the western region of the Iberic Peninsula where the Lusitanian people lived and where most of modern-day Portugal is situated.","NEWC","2019 IAU100 NameExoWorlds","","17/12/2019"
"Maasym","HR 6526","85693","λ Her","Her","From the Arabic word al-mi'sam, ""the wrist,"" used in the Arabic Almagest in describing o Her. Wrongly transferred to λ Her in Renaissance times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Her","12/09/2016"
"Macondo","HD 93083","52521","","Ant","Macondo is the mythical village of the novel One Hundred Years of Solitude (Cien años de soledad) the classic novel by Gabriel García Marquez. Macondo is a fictional place where magic and reality are mixed.","Spanish","2019 IAU100 NameExoWorlds","","17/12/2019"
"Mago","HD 32518","24003","","Cam","Mago is a National Park in Ethiopia noted for its giraffes. The star also happens to be in the constellation of Camelopardis (the giraffe).","Ethiopian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Mahasim","HR 2095","28380","θ Aur","Aur","","--","--","","30/06/2017"
"Mahsati","HD 152581","82651","","Oph","Mahsati Ganjavi (1089–1159) is one of the brightest shining stars of Azerbaijani poetry. She was said to have associated with both Omar Khayyam and Nizami and was well educated and talented and played numerous musical instruments.","Persian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Maia","HR 1149","17573","20 Tau","Tau","These names were individually applied in Renaissance times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","20/07/2016"
"Malmok","WASP-39","0","V732 Vir","Vir","Malmok is an indigenous name given to a beach in Aruba with a narrow sandy stretch that interrupts the limestone and rocky terrace along the coast. Its shallow clear Caribbean waters make it a popular snorkelling spot.","Papiamento","2019 IAU100 NameExoWorlds","","17/12/2019"
"Marfik","HR 6149","80883","λ Oph","Oph","Applied since medieval times from the Arabic word al-marfiq, ""the elbow,"" used in the Arabic Almagest in describing this star. While the medieval transliteration was marsic (with a confusion of f and the long-shaped s), Marfik is an improved spelling of recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Oph","12/09/2016"
"Markab","HR 8781","113963","α Peg","Peg","From an abbreviation of the sci-A name mankib al-faras, ""the Horse's Shoulder,"" for β Peg. Wrongly transferred to α Peg in late medieval times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","30/06/2017"
"Markeb","HR 3734","45941","κ Vel","Vel","Evidently from the Arabic word markab, ""a ship or any vehicle,"" presumably standing for the Greek constellation name Argo. However, sci-A sources do not mention markab for Argo, only al-safina (""the Ship""), hence the ultimate origin of the name remains a mystery. ""Markeb"" was applied as a star name to ρ Pup in medieval times, to κ Pup in Renaissance rimes, and finally to κ  Vel in recent times when Argo was divided into its four modern constellations","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","05/09/2017"
"Marsic","HR 6008","79043","κ Her","Her","Applied in medieval times from the Arabic word al-marfiq, ""the elbow,"" used in the Arabic Almagest in describing this star.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","01/02/2017"
"Maru","WD 0806-661","","","Vol","‘Maru’ (마루) is a Korean word reminiscent of the sky.","Korean","NEWC Republic of Korea: Korean words reminiscent of the sky, sea, and environment.","","01/08/2023"
"Matar","HR 8650","112158","η Peg","Peg","Applied in recent times from an abbreviation of the ind-A name sa'd matar for η and o Peg. Its meaning is unknown. matar has been translated as ""rain,"" and as a common noun in Arabic, al-matar does mean ""the rain."" However, lack of the definitive article al- for the star points to a use of the word in a sense different from the common noun.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Peg","21/08/2016"
"Matza","HIP 65426","","","Cen","Matza refers to “a star in the sky” or “somebody that shines within” in the language of the Zoque people.","Zoque","NEWC Mexico: Words in the language of the Zoque Indigenous people of Mexico relating to cosmological vision, harmony, conflict, balance, and life.","","01/08/2023"
"Mazalaai","HAT-P-21","0","","UMa","Mazaalai is the Mongolian name for the endangered Gobi bear subspecies (Ursus arctos gobiensis) of the Gobi Desert region of Mongolia, and the name of the first Mongolian satellite.","Mongolian","2019 IAU100 NameExoWorlds","","24/02/2020"
"Mebsuta","HR 2473","32246","ε Gem","Gem","From an abbreviation of the ind-A asterism name dhira' al-asad almabsuta, ""the Lion's Outstretched Paw,"" for one of the two pairs α/β Gem or α/β CMi. These pairs were assigned to the larger ind-A asterism al-asad, but there is no unanimity in the Arabic sources as to which pair was the ""outstretched"" or ""folded"" paw. ""Mebsuta"" was arbitrarily applied as a star name to ε Gem in recent times. In its indigenous location stretching from parts of Gemini all the way into Virgo, the ind-A al-asad, ""the Lion,"" corresponded to what in other cultures was Leo among the zodiacal signs. Subsequently the sci-Arabs used the indigenous name for the smaller Greek Lion (Leo).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Gem","20/07/2016"
"Megrez","HR 4660","59774","δ UMa","UMa","Applied in recent times from an abbreviation of its sci-A name maghriz al-dubb al-akbar, ""the Root (of the tail) of the Greater Bear.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","UMa","30/06/2016"
"Meissa","HR 1879","26207","λ Ori","Ori","From the ind-A name al-maisan, for either γ or ξ Gem. The meaning of the name is uncertain. It may mean ""the Sparkling One,"" referring to a star, or ""the Proudly Marching One,"" referring to a person. Together, γ and ξ Gem composed the ind-A 6th lunar mansion alhan'a. The nearby stars λ, ϕ1, and ϕ2 Ori composed the adjacent 5th lunar mansion al-haq'a. Due to confusion between these two parent lunar mansions in a late Arabic source, ""Meissa"" was wrongly applied to λ Ori (rather than to γ or ξ Gem) in recent times. ""Meissa"" (without n at the end) corresponds to ind-A almaisa', a variant form of al-maisan.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Ori","20/07/2016"
"Mekbuda","HR 2650","34088","ζ Gem","Gem","From an abbreviation of the ind-A asterism name dhira' al-asad al-maqbuqa, ""the Lion's Folded Paw"". Arbitrarily applied as a star name to ζ Gem in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Gem","12/09/2016"
"Meleph","HR 3429","42556","ε Cnc","Cnc","","--","--","","05/09/2017"
"Menkalinan","HR 2088","28360","β Aur","Aur","Applied in recent times from its Arabic name mankib dhi l-(inan, ""the Shoulder of the Reinholder"".","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","20/07/2016"
"Menkar","HR 911","14135","α Cet","Cet","From the Arabic word al-minkhar, ""the nostrils,"" used in the Arabic Almagest in describing λ Cet. Wrongly applied as a star name to α Cet (properly on the ""jaw"") in a Medieval Latin star table.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cet","30/06/2016"
"Menkent","HR 5288","68933","θ Cen","Cen","Applied in recent times and possibly coined from the Arabic word mankib, ""shoulder"" (in some recent transliterations: menkib; Ptolemy described this star on the right ""shoulder"" of the Centaur), plus the Latinized ""Kentaurus"" for the sci-A constellation name qanturis. Hence this name could be of similar construction to the abbreviation for α Cen: ""Rigil Kent.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cen","21/08/2016"
"Menkib","HR 1228","18614","ξ Per","Per","Applied in recent times from an abbreviation of its ind-A name mankib al-thurayya, ""the Shoulder of the Pleiades,"" for its location in the ind-A asterism here.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Per","12/09/2016"
"Merak","HR 4295","53910","β UMa","UMa","Applied in recent times from an abbreviation of its sci-A name maraqq al-dubb al-akbar, ""the Flank (or Groin) of the Greater Bear.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","UMa","30/06/2016"
"Merga","HR 5533","72487","38 Boo","Boo","A Latin word meaning ""reaping hook,"" used in a Renaissance discussion of the constellation Bootes. According to this discussion, some classical sources mentioned a reaping hook held in Bootes' hand opposite the staff. Subsequently the word was applied as a star name to hBoo.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","12/09/2016"
"Meridiana","HR 7254","94114","α CrA","CrA","","--","--","","05/09/2017"
"Merope","HR 1156","17608","23 Tau","Tau","These names were individually applied in Renaissance times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","20/07/2016"
"Mesarthim","HR 546","8832","γ1 Ari","Ari","The formation of this name begins with the Arabic lunar mansion name al-sharatan, for β and γ Ari. From the numerous medieval lists of the Arabic lunar mansions (all in Latin transliteration), the Renaissance scholar Johannes Bayer grasped the form Sartai, and used it for the three brighter stars α, β and γ Ari. Bayer also erroneously explained Sartai as from the Hebrew word mesharethim, ""servants"", rather than from al-sharatan. Subsequently, Bayer's erroneous word, written as ""Mesarthim"", was applied as a star name.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","21/08/2016"
"Miaplacidus","HR 3685","45238","β Car","Car","Applied in recent times, and of unknown astronomical significance. The first element, Mia-, is unexplained. The second element is the Latin adjective placidus, meaning ""calm, gentle"" (here in the masculine form).","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","20/07/2016"
"Mimosa","HR 4853","62434","β Cru","Cru","Applied in recent times, and of unknown astronomical significance. It is from the Latin word mimus, ""an actor"", and is otherwise known as the genus name for certain tropical plants.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","20/07/2016"
"Minchir","HR 3418","42402","σ Hya","Hya","","--","--","","05/09/2017"
"Minelauva","HR 4910","63090","δ Vir","Vir","","--","--","","30/06/2017"
"Mintaka","HR 1852","25930","δ Ori","Ori","Applied in recent times from an abbreviation of the ind-A (and sci-A) asterism name mintaqat al-jauza', ""the Belt (or Girdle) of al-jauza'"", for δ, ε, and ζ Ori.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Ori","20/07/2016"
"Mira","HR 681","10826","ο Cet","Cet","Its Latin name since Renaissance times meaning ""the Amazing One"", as taken from Historiola Mirae Stellae - the title of a work describing the amazing variability of this star (written by Hevelius in 1662).","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","30/06/2016"
"Mirach","HR 337","5447","β And","And","Ultimately from the Arabic word al-mi)zar, ""the girdle"" or ""loin cloth"", used in the Arabic Almagest in describing this star. The correct transliteration of the word in the Medieval Latin Almagest was mizar, which was occasionally misspelled as mirac, mirat, etc. These corruptions, taken as proper names for β And, were correctly attributed to al-mi)zar by Renaissance scholars. Subsequently one of the misspellings, ""Mirach"", gained more popularity over the correct ""Mizar"", to beome the preferred modern name.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","30/06/2016"
"Miram","HR 834","13268","η Per","Per","","--","--","","05/09/2017"
"Mirfak","HR 1017","15863","α Per","Per","Applied in recent times from an abbreviation of its ind-A name mirfaq al-thurayya, ""the Elbow of the Pleiades,"" for its location in the ind-A asterism here.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Per","20/07/2016"
"Mirzam","HR 2294","30324","β Cma","Cma","Applied in recent times from its Arabic name al-mirzam, of unknown meaning. The Arabs also gave the name to β CMi, and sometimes to γ Ori. Each al-mirzam star preceded the rising of a brighter star (our Sirius, Procyon, and Betelgeuse, respectively), which probably connects to the unknown meaning.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","20/07/2016"
"Misam","HR 941","14668","κ Per","Per","","--","--","","05/09/2017"
"Mizar","HR 5054","65378","ζ UMa","UMa","Ultimately from the Arabic word al-maraqq, ""the Groin,"" used in the Arabic Almagest in describing β UMa. Correct transliterations of almaraqq in the Medieval Latin Almagest were mirac and mirach. However, Renaissance scholars confused these words with the Arabic word mi'zar, which had equally been transliterated and corrupted in Latin as mirac, mirach, etc. Subsequently the mistaken mi'zar, written as ""Mizar,"" was applied as a star name to β UMa, and it became transferred to ζ UMa in late Renaissance times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","UMa","30/06/2016"
"Moldoveanu","XO-1","0","","CrB","Moldoveanu is the highest peak in Romania of the Făgăraș mountain range with an altitude of 2544 metres.","Romanian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Montuno","WASP-79","0","","Eri","Montuno is the traditional costume the man wears in the “El Punto”, a Panamanian dance in which a man and woman dance to the sound of drums.","Spanish","2019 IAU100 NameExoWorlds","","17/12/2019"
"Morava","WASP-60","0","","Peg","Morava is the longest river system in Serbia.","Serbian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Moriah","HAT-P-23","0","","Del","Moriah is an ancient name for the mountain within the Old City of Jerusalem.","NEWC","2019 IAU100 NameExoWorlds","","17/12/2019"
"Mothallah","HR 544","8796","α Tri","Tri","Applied in recent times from the sci-A constellation name al-muthallath, ""the Triangle,"" for Triangulum.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Tri","21/08/2016"
"Mouhoun","HD 30856","22491","","Eri","Mouhoun, also called Volta Noire, is the largest river in Burkina Faso and plays an important role in the lives of the people in the areas it passes through.","NEWC","2019 IAU100 NameExoWorlds","","17/12/2019"
"Mpingo","WASP-71","0","","Cet","Mpingo is a famous tree that grows in southern Tanzania and produces ebony wood used for musical instruments and curios.","NEWC","2019 IAU100 NameExoWorlds","","17/12/2019"
"Muliphein","HR 2657","34045","γ CMa","CMa","The formation of this name begins with the Arabic names hadari and al-wazn. In Arabic discussions of these names it came to be said that they were muhlifan, meaning ""two [things] causing dispute [in this case as to these stars' identification] and the swearing of an oath"". From this usage, al-muhlifan was wrongly taken as a name for hadari and al-wazn together. Transliterated and further mutilated as ""Muliphein"", the name was arbitrarily applied to the single star γ CMa in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","21/08/2016"
"Muphrid","HR 5235","67927","η Boo","Boo","The formation of this name begins with the ancient Arabic name for α Boo: al-simak al-ramih, ""the Lance-bearing simak"" (the meaning of simak is uncertain). It seems that later Arabic poets expanded upon this name by making mention of some separate ""lance"" (al-rumh) that accompanied the star α Boo. Subsequent Arabs attempted to identify this fictitious lance with actual stars, sometimes saying it was η Boo with nearby stars, sometimes saying it was ""η Boo alone"" (where ""alone"", in arabic, is written mufradan). From these discussions came, with a slight copying mistake in the Arabic, the erroneous Arabic name mufrad al-ramih, roughly translating as ""the Isolated Single One of the Lance-Bearer"". With a wrong vocalization and with abbreviation, this erroneous name, as ""Muphrid"", was applied in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","12/09/2016"
"Muscida","HR 3323","41704","ο UMa","UMa","Almagestum 1515: ""illa quae est supra extremitatem Musciae"" - Bayer (1603) ""in naso, barbaris muscida."" - attributed to ""Barbarians""","Latin","Ptolemaeus. (1515). Almagestū Cl[audii] Ptolemei Pheludiensis Alexandrini Astronomo[rum] principis : opus ingens ac nobile omnes celorū motus continens ... Liechtenstein, Petrus.","","20/07/2016"
"Musica","HR 8030","103527","18 Del","Del","Musica is Latin for ""music"".","Latin","2015 NameExoWorlds","","15/12/2015"
"Muspelheim","HAT-P-29","0","","Per","Muspelheim is the Norse mythological realm of fire. The first gods used the sparks of Muspelheim to form the sun, moon, planets, and stars.","Old Norse","2019 IAU100 NameExoWorlds","","17/12/2019"
"Márohu","WASP-6","0","","Aqr","Márohu the god of drought is the protector of the Sun and is engraved at a higher position on the stalagmite than Boinayel in the El Puente cave, where the Sun makes its way down every 21 December.","Taíno","2019 IAU100 NameExoWorlds","","17/12/2019"
"Mönch","HD 130322","72339","","Vir","Mönch is one of the prominent peaks of the Bernese Alps in Switzerland.","German","2019 IAU100 NameExoWorlds","","17/12/2019"
"Nahn","HR 3627","44946","ξ Cnc","Cnc","","--","--","","01/06/2018"
"Naledi","WASP-62","0","","Dor","Naledi means star in the Sesotho, SeTswana and SePedi languages and is typically given as a name to girls in the hope that they will bring light, joy and peace to their communities.","Sesotho, Se Tswana and SePedi","2019 IAU100 NameExoWorlds","","17/12/2019"
"Naos","HR 3165","39429","ζ Pup","Pup","Applied in recent times from the word ναῦς, Greek for the ""ship"", used in one Renaissance discussion as a name for the ancient constellation Argo (since divided into Puppis, Carina, Vela, and Pyxis).","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","21/08/2016"
"Nashira","HR 8278","106985","γ Cap","Cap","Applied in recent times from the ind-A name sa<d nashira, for γ and δ Cap. Its meaning is unknown. As originally applied, γ was ""Nashira Prima"" and δ was ""Nashira Posterior.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Cap","21/08/2016"
"Natasha","HD 85390","48235","","Vel","Natasha means ""thank you"" in many languages of Zambia.","Zambian","2019 IAU100 NameExoWorlds","","17/12/2019"
"Nekkar","HR 5602","73555","β Boo","Boo","Applied in recent times from a misreading of the Arabic constellation name al-baqqar, ""the Ox-driver"", for Boötes.","corrupted","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","","21/08/2016"
"Nembus","HR 464","7607","51 And","And","Name appears in Bayer's (1603) Uranometria for Upsilon Per (later designated 51 And), which he states is of Arab origin, however the name appears to be Latin not Arabic. From the description it appears that the name appears to be connected with the adamntine harpe sword Perseus used to decapitate Medusa.","Latin?","Bayer (1603, 11), Bode (1801)","","05/09/2017"
"Nenque","HD 6434","5054","","Phe","Nenque means the Sun in the language spoken by the Indigenous Waorani tribes of the Amazon regions of Ecuador.","Waorani","2019 IAU100 NameExoWorlds","","17/12/2019"
"Nervia","HD 49674","32916","","Aur","Nervia, adapted from Nervii, was a prominent Belgian Celtic tribe.","Latin","2019 IAU100 NameExoWorlds","","17/12/2019"
"Nganurganity","HR 2646","33856","σ CMa","CMa","","--","--","","05/09/2017"
"Nihal","HR 1829","25606","β Lep","Lep","Applied in recent times from the ind-A asterism name al-nihal ""the Camels Beginning to Quench Their Thirst"" for α, β, γ and δ Lep.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","Lep","20/07/2016"
"Nikawiy","HD 136418","74961","","Boo","Nikawiy is the word for mother in the Indigenous Cree language of Canada.","Cree language","2019 IAU100 NameExoWorlds","","17/12/2019"
"Noquisi","GJ 436","","","Leo","“Noquisi” (ᏃᏈᏏ, No-Kwee-See) is the Cherokee word for “star”.","Cherokee","NEWC USA: The Cherokee legend of the eagle feather and Cherokee terms associated with celestial objects.","","01/08/2023"
"Nosaxa","HD 48265","31895","","Pup","Nosaxa means spring in the Moqoit language. The word comes from a combination of nosahuec, which means renew, and ñaaxa, which means year.","Moqoit","2019 IAU100 NameExoWorlds","","17/12/2019"
